device-id,timestamp,timestamp-ms,type,value
0033C822,2019-10-21T09:51:13Z,1571651473000,humidity,50
0033C822,2019-10-21T09:51:13Z,1571651473000,temperature,22.1
0033C822,2019-10-21T10:13:57Z,1571652837000,humidity,50
0033C822,2019-10-21T10:13:57Z,1571652837000,temperature,22.1
0033C822,2019-10-21T10:36:37Z,1571654197000,humidity,50
0033C822,2019-10-21T10:36:37Z,1571654197000,temperature,22.1
0033C822,2019-10-21T10:59:20Z,1571655560000,humidity,50
0033C822,2019-10-21T10:59:20Z,1571655560000,temperature,22.2
0033C822,2019-10-21T11:22:04Z,1571656924000,humidity,50
0033C822,2019-10-21T11:22:04Z,1571656924000,temperature,22.3
0033C822,2019-10-21T11:44:46Z,1571658286000,humidity,50
0033C822,2019-10-21T11:44:46Z,1571658286000,temperature,22.3
0033C822,2019-10-21T12:07:29Z,1571659649000,humidity,51
0033C822,2019-10-21T12:07:29Z,1571659649000,temperature,23.6
0033C822,2019-10-21T12:30:12Z,1571661012000,humidity,49
0033C822,2019-10-21T12:30:12Z,1571661012000,temperature,23.6
0033C822,2019-10-21T12:52:55Z,1571662375000,humidity,49
0033C822,2019-10-21T12:52:55Z,1571662375000,temperature,23.6
0033C822,2019-10-21T13:15:37Z,1571663737000,humidity,49
0033C822,2019-10-21T13:15:37Z,1571663737000,temperature,23.6
0033C822,2019-10-21T13:38:20Z,1571665100000,humidity,49
0033C822,2019-10-21T13:38:20Z,1571665100000,temperature,23.5
0033C822,2019-10-21T14:01:05Z,1571666465000,humidity,49
0033C822,2019-10-21T14:01:05Z,1571666465000,temperature,23.4
0033C822,2019-10-21T14:23:45Z,1571667825000,humidity,49
0033C822,2019-10-21T14:23:45Z,1571667825000,temperature,23.4
0033C822,2019-10-21T14:46:27Z,1571669187000,humidity,49
0033C822,2019-10-21T14:46:27Z,1571669187000,temperature,23.3
0033C822,2019-10-21T15:09:11Z,1571670551000,humidity,49
0033C822,2019-10-21T15:09:11Z,1571670551000,temperature,23.2
0033C822,2019-10-21T15:31:53Z,1571671913000,humidity,49
0033C822,2019-10-21T15:31:53Z,1571671913000,temperature,23.2
0033C822,2019-10-21T15:54:36Z,1571673276000,humidity,49
0033C822,2019-10-21T15:54:36Z,1571673276000,temperature,23
0033C822,2019-10-21T16:17:19Z,1571674639000,humidity,49
0033C822,2019-10-21T16:17:19Z,1571674639000,temperature,23
0033C822,2019-10-21T16:40:00Z,1571676000000,humidity,49
0033C822,2019-10-21T16:40:00Z,1571676000000,temperature,22.8
0033C822,2019-10-21T17:02:43Z,1571677363000,humidity,49
0033C822,2019-10-21T17:02:43Z,1571677363000,temperature,22.8
0033C822,2019-10-21T17:25:25Z,1571678725000,humidity,49
0033C822,2019-10-21T17:25:25Z,1571678725000,temperature,22.7
0033C822,2019-10-21T17:48:09Z,1571680089000,humidity,49
0033C822,2019-10-21T17:48:09Z,1571680089000,temperature,22.8
0033C822,2019-10-21T18:10:52Z,1571681452000,humidity,49
0033C822,2019-10-21T18:10:52Z,1571681452000,temperature,22.7
0033C822,2019-10-21T18:33:35Z,1571682815000,humidity,49
0033C822,2019-10-21T18:33:35Z,1571682815000,temperature,22.6
0033C822,2019-10-21T18:56:16Z,1571684176000,humidity,49
0033C822,2019-10-21T18:56:16Z,1571684176000,temperature,22.5
0033C822,2019-10-21T19:18:58Z,1571685538000,humidity,49
0033C822,2019-10-21T19:18:58Z,1571685538000,temperature,22.6
0033C822,2019-10-21T19:41:42Z,1571686902000,humidity,49
0033C822,2019-10-21T19:41:42Z,1571686902000,temperature,22.5
0033C822,2019-10-21T20:04:23Z,1571688263000,humidity,49
0033C822,2019-10-21T20:04:23Z,1571688263000,temperature,22.5
0033C822,2019-10-21T20:27:04Z,1571689624000,humidity,49
0033C822,2019-10-21T20:27:04Z,1571689624000,temperature,22.5
0033C822,2019-10-21T20:49:47Z,1571690987000,humidity,49
0033C822,2019-10-21T20:49:47Z,1571690987000,temperature,22.4
0033C822,2019-10-21T21:12:29Z,1571692349000,humidity,49
0033C822,2019-10-21T21:12:29Z,1571692349000,temperature,22.3
0033C822,2019-10-21T21:35:12Z,1571693712000,humidity,49
0033C822,2019-10-21T21:35:12Z,1571693712000,temperature,22.3
0033C822,2019-10-21T21:57:53Z,1571695073000,humidity,49
0033C822,2019-10-21T21:57:53Z,1571695073000,temperature,22.4
0033C822,2019-10-21T22:20:37Z,1571696437000,humidity,49
0033C822,2019-10-21T22:20:37Z,1571696437000,temperature,22.3
0033C822,2019-10-21T22:43:17Z,1571697797000,humidity,49
0033C822,2019-10-21T22:43:17Z,1571697797000,temperature,22.3
0033C822,2019-10-21T23:06:00Z,1571699160000,humidity,49
0033C822,2019-10-21T23:06:00Z,1571699160000,temperature,22.3
0033C822,2019-10-21T23:28:42Z,1571700522000,humidity,49
0033C822,2019-10-21T23:28:42Z,1571700522000,temperature,22.3
0033C822,2019-10-21T23:51:25Z,1571701885000,humidity,49
0033C822,2019-10-21T23:51:25Z,1571701885000,temperature,22.3
0033C822,2019-10-22T00:14:07Z,1571703247000,humidity,49
0033C822,2019-10-22T00:14:07Z,1571703247000,temperature,22.2
0033C822,2019-10-22T00:36:51Z,1571704611000,humidity,49
0033C822,2019-10-22T00:36:51Z,1571704611000,temperature,22.2
0033C822,2019-10-22T00:59:34Z,1571705974000,humidity,49
0033C822,2019-10-22T00:59:34Z,1571705974000,temperature,22.1
0033C822,2019-10-22T01:22:17Z,1571707337000,humidity,49
0033C822,2019-10-22T01:22:17Z,1571707337000,temperature,22.1
0033C822,2019-10-22T01:44:59Z,1571708699000,humidity,49
0033C822,2019-10-22T01:44:59Z,1571708699000,temperature,22.1
0033C822,2019-10-22T02:07:41Z,1571710061000,humidity,49
0033C822,2019-10-22T02:07:41Z,1571710061000,temperature,22.1
0033C822,2019-10-22T02:30:24Z,1571711424000,humidity,49
0033C822,2019-10-22T02:30:24Z,1571711424000,temperature,22.1
0033C822,2019-10-22T02:53:07Z,1571712787000,humidity,49
0033C822,2019-10-22T02:53:07Z,1571712787000,temperature,22.2
0033C822,2019-10-22T03:15:49Z,1571714149000,humidity,49
0033C822,2019-10-22T03:15:49Z,1571714149000,temperature,22.1
0033C822,2019-10-22T03:38:31Z,1571715511000,humidity,49
0033C822,2019-10-22T03:38:31Z,1571715511000,temperature,22.2
0033C822,2019-10-22T04:01:15Z,1571716875000,humidity,48
0033C822,2019-10-22T04:01:15Z,1571716875000,temperature,22.1
0033C822,2019-10-22T04:23:59Z,1571718239000,humidity,49
0033C822,2019-10-22T04:23:59Z,1571718239000,temperature,22.1
0033C822,2019-10-22T04:46:40Z,1571719600000,humidity,49
0033C822,2019-10-22T04:46:40Z,1571719600000,temperature,22.1
0033C822,2019-10-22T05:09:22Z,1571720962000,humidity,49
0033C822,2019-10-22T05:09:22Z,1571720962000,temperature,22.3
0033C822,2019-10-22T05:32:04Z,1571722324000,humidity,49
0033C822,2019-10-22T05:32:04Z,1571722324000,temperature,22.3
0033C822,2019-10-22T05:54:46Z,1571723686000,humidity,50
0033C822,2019-10-22T05:54:46Z,1571723686000,temperature,22.4
0033C822,2019-10-22T06:17:29Z,1571725049000,humidity,50
0033C822,2019-10-22T06:17:29Z,1571725049000,temperature,22.5
0033C822,2019-10-22T06:40:11Z,1571726411000,humidity,50
0033C822,2019-10-22T06:40:11Z,1571726411000,temperature,22.5
0033C822,2019-10-22T07:02:56Z,1571727776000,humidity,50
0033C822,2019-10-22T07:02:56Z,1571727776000,temperature,22.7
0033C822,2019-10-22T07:25:38Z,1571729138000,humidity,50
0033C822,2019-10-22T07:25:38Z,1571729138000,temperature,22.8
0033C822,2019-10-22T07:48:19Z,1571730499000,humidity,50
0033C822,2019-10-22T07:48:19Z,1571730499000,temperature,22.8
0033C822,2019-10-22T08:11:00Z,1571731860000,humidity,51
0033C822,2019-10-22T08:11:00Z,1571731860000,temperature,23
0033C822,2019-10-22T08:33:42Z,1571733222000,humidity,51
0033C822,2019-10-22T08:33:42Z,1571733222000,temperature,23
0033C822,2019-10-22T08:56:27Z,1571734587000,humidity,51
0033C822,2019-10-22T08:56:27Z,1571734587000,temperature,22.8
0033C822,2019-10-22T09:19:07Z,1571735947000,humidity,51
0033C822,2019-10-22T09:19:07Z,1571735947000,temperature,22.5
0033C822,2019-10-22T09:41:48Z,1571737308000,humidity,51
0033C822,2019-10-22T09:41:48Z,1571737308000,temperature,22.3
0033C822,2019-10-22T10:04:30Z,1571738670000,humidity,52
0033C822,2019-10-22T10:04:30Z,1571738670000,temperature,22.2
0033C822,2019-10-22T10:27:14Z,1571740034000,humidity,52
0033C822,2019-10-22T10:27:14Z,1571740034000,temperature,22.1
0033C822,2019-10-22T10:49:55Z,1571741395000,humidity,52
0033C822,2019-10-22T10:49:55Z,1571741395000,temperature,21.9
0033C822,2019-10-22T11:12:38Z,1571742758000,humidity,52
0033C822,2019-10-22T11:12:38Z,1571742758000,temperature,21.9
0033C822,2019-10-22T11:35:21Z,1571744121000,humidity,52
0033C822,2019-10-22T11:35:21Z,1571744121000,temperature,21.9
